,count,mean,std,min,25%,50%,75%,max
sensor_000,1561.0,3014.4528955797564,73.62178674853077,2743.24,2966.26,3011.49,3056.65,3356.35
sensor_001,1560.0,2495.850230769231,80.40770497881121,2158.75,2452.2475000000004,2499.4049999999997,2538.8225,2846.44
sensor_002,1553.0,2200.5473177076624,29.513152057457155,2060.66,2181.0444,2201.0667,2218.0555,2315.2667
sensor_003,1553.0,1396.3766273663878,441.6916403756737,0.0,1081.8758,1285.2144,1591.2235,3715.0417
sensor_004,1553.0,4.197013135866065,56.35554009369094,0.6815,1.0177,1.3168,1.5257,1114.5366
sensor_005,1553.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
sensor_006,1553.0,101.11290824211203,6.237213788938685,82.1311,97.92,101.5122,104.5867,129.2522
sensor_007,1558.0,0.12182150192554556,0.008961318060306013,0.0,0.1211,0.1224,0.1238,0.1286
sensor_008,1565.0,1.4628616613418528,0.07389656150907685,1.191,1.4112,1.4616,1.5169,1.6564
sensor_009,1565.0,-0.0008410223642172522,0.015116189521664193,-0.0534,-0.0108,-0.0013,0.0084,0.0749
sensor_010,1565.0,0.0001457507987220447,0.00930210506944666,-0.0349,-0.0056,0.0004,0.0059,0.053
sensor_011,1565.0,0.9643527795527156,0.012452051783214598,0.6554,0.9581,0.9658,0.9713,0.9848
sensor_012,1565.0,199.9568092651757,3.2572756729454815,182.094,198.1307,199.5356,202.0071,272.0451
sensor_013,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor_014,1564.0,9.005370524296675,2.7965955707527526,2.2493,7.094875,8.966999999999999,10.861875,19.5465
sensor_015,1564.0,413.08603542199484,17.221094563789936,333.4486,406.12739999999997,412.2191,419.089275,824.9271
sensor_016,1564.0,9.907602813299233,2.403866634483626,4.4696,9.567625,9.85175,10.128175,102.8677
sensor_017,1564.0,0.971443925831202,0.012062412664690256,0.5794,0.9682,0.9726,0.9768,0.9848
sensor_018,1564.0,190.04735358056266,2.7810407145023497,169.1774,188.299825,189.6642,192.189375,215.5977
sensor_019,1557.0,12.481033975594091,0.217965260098252,9.8773,12.46,12.4996,12.5471,12.9898
sensor_020,1567.0,1.4050542437779197,0.01673693251882698,1.1797,1.3965,1.406,1.415,1.4534
sensor_021,1565.0,-5618.393610223642,626.8221783421311,-7150.25,-5933.25,-5523.25,-5356.25,0.0
sensor_022,1565.0,2699.3784345047925,295.49853453043056,0.0,2578.0,2664.0,2841.75,3656.25
sensor_023,1565.0,-3806.2997336741214,1380.1621478092084,-9986.75,-4371.75,-3820.75,-3352.75,2363.0
sensor_024,1565.0,-298.59813591054314,2902.6901174771046,-14804.5,-1476.0,-78.75,1377.25,14106.0
sensor_025,1565.0,1.2038447284345049,0.17760047570306497,0.0,1.0948,1.283,1.3043,1.3828
sensor_026,1565.0,1.938476805111821,0.18949504806307088,0.0,1.9065,1.9865,2.0032,2.0528
sensor_027,1565.0,6.638627987220448,1.244249271997308,0.0,5.2637,7.2647,7.3297,7.6588
sensor_028,1565.0,69.49953233226836,3.4611809382184786,59.4,67.3778,69.1556,72.2667,77.9
sensor_029,1565.0,2.366197444089457,0.4086942024843982,0.6667,2.0889,2.3778,2.6556,3.5111
sensor_030,1565.0,0.18415891373801918,0.03294394301191376,0.0341,0.1617,0.1867,0.2071,0.2851
sensor_031,1565.0,3.673189392971246,0.5353218337891784,2.0698,3.3627,3.431,3.5313,4.8044
sensor_032,1566.0,85.3374687100894,2.026549205778641,83.1829,84.4905,85.13544999999999,85.7419,105.6038
sensor_033,1566.0,8.960278544061303,1.3444563668120262,7.6032,8.58,8.7698,9.0606,23.3453
sensor_034,1566.0,50.58263856960409,1.1826181758105365,49.8348,50.25235,50.3964,50.5788,59.7711
sensor_035,1566.0,64.55578703703704,2.574748594677452,63.6774,64.0248,64.1658,64.3447,94.2641
sensor_036,1566.0,49.417370498084296,1.1826188859654572,40.2289,49.4212,49.6036,49.74765,50.1652
sensor_037,1566.0,66.2212735632184,0.3041407986805709,64.9193,66.04065,66.23179999999999,66.343275,67.9586
sensor_038,1566.0,86.83657656449553,0.44675558233221313,84.7327,86.5783,86.8207,87.0024,88.4188
sensor_039,1566.0,118.67955440613028,1.8072208583386924,111.7128,118.0156,118.39930000000001,118.9396,133.3898
sensor_040,1543.0,67.9049092676604,24.06294300863671,1.434,74.8,78.29,80.2,86.12
sensor_041,1543.0,3.3530661697990927,2.3604249902068566,-0.0759,2.69,3.074,3.521,37.88
sensor_042,1566.0,70.0,0.0,70.0,70.0,70.0,70.0,70.0
sensor_043,1566.0,355.53890357598976,6.234706194564162,342.7545,350.801575,353.72090000000003,360.77225,377.2973
sensor_044,1566.0,10.031165006385697,0.17503759519923412,9.464,9.925425,10.03485,10.152474999999999,11.053
sensor_045,1566.0,136.74305977011497,7.849247454551085,108.8464,130.72887500000002,136.4,142.098225,176.3136
sensor_046,1566.0,733.6728114942529,12.170314705663275,699.8139,724.4423,733.45,741.4545,789.7523
sensor_047,1566.0,1.177958109833972,0.18963690625019128,0.4967,0.985,1.25105,1.34035,1.5111
sensor_048,1566.0,139.97223090676883,4.5242509086914,125.7982,136.9268,140.00775,143.19570000000002,163.2509
sensor_049,1566.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
sensor_050,1566.0,632.254196743295,8.643985374141904,607.3927,625.928425,631.3709,638.1363249999999,667.7418
sensor_051,1566.0,157.4209913154534,60.92510825477898,40.2614,115.508975,183.31815,206.97715,258.5432
sensor_052,1566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor_053,1563.0,4.592971209213052,0.05494962018310939,3.706,4.574,4.596,4.617,4.764
sensor_054,1563.0,4.838522712731926,0.05958067268892917,3.932,4.816,4.843,4.869,5.011
sensor_055,1563.0,2856.1721049264233,25.749317256276903,2801.0,2836.0,2854.0,2874.0,2936.0
sensor_056,1563.0,0.9288493282149711,0.006807361515537244,0.8755,0.92545,0.931,0.9331,0.9378
sensor_057,1563.0,0.9492150351887396,0.004175952180674276,0.9319,0.94665,0.9493,0.952,0.9598
sensor_058,1563.0,4.593311772232886,0.0850947759010716,4.2199,4.5319,4.5727,4.6686,4.8475
sensor_059,1560.0,2.9602414743589747,9.532219593731654,-28.9882,-1.871575,0.9472499999999999,4.385225,168.1455
sensor_060,1561.0,355.15909404228057,6.027888753453348,324.7145,350.5964,353.7991,359.6736,373.8664
sensor_061,1561.0,10.423142921204356,0.27487688237514923,9.4611,10.283,10.4367,10.5916,11.7849
sensor_062,1561.0,116.50232882767459,8.629021528561994,81.49,112.0227,116.2118,120.9273,287.1509
sensor_063,1560.0,13.989926987179485,7.119863108210895,1.6591,10.3643,13.24605,16.3761,188.0923
sensor_064,1560.0,20.54210903846154,4.977467453454667,6.4482,17.364800000000002,20.021349999999998,22.813625,48.9882
sensor_065,1560.0,27.131815576923074,7.121703093956383,4.308,23.056425,26.26145,29.91495,118.0836
sensor_066,1561.0,706.668522869955,11.623078342670448,632.4226,698.7702,706.4536,714.597,770.6084
sensor_067,1561.0,16.71544356181935,307.5022930665586,0.4137,0.8907,0.9783,1.065,7272.8283
sensor_068,1561.0,147.43757764253684,4.240095182952078,87.0255,145.2373,147.5973,149.9591,167.8309
sensor_069,1561.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
sensor_070,1561.0,619.1016865470853,9.539190367164208,581.7773,612.7745,619.0327,625.17,722.6018
sensor_071,1561.0,104.32903344010249,31.651898740791477,21.4332,87.4842,102.6043,115.4989,238.4775
sensor_072,773.0,150.36155213454074,18.388481151665765,-59.4777,145.3053,152.2972,158.4378,175.4132
sensor_073,773.0,468.0204040103493,17.62988564018737,456.0447,464.4581,466.0817,467.8899,692.4256
sensor_074,1561.0,0.002687700192184497,0.10618967066673689,0.0,0.0,0.0,0.0,4.1955
sensor_075,1543.0,-0.00690304601425794,0.02229216702252471,-0.1049,-0.019549999999999998,-0.0063,0.0071,0.2315
sensor_076,1543.0,-0.02939047310434219,0.03320327939551294,-0.1862,-0.0519,-0.0289,-0.0065,0.0723
sensor_077,1543.0,-0.007041412832145171,0.03136823307920039,-0.1046,-0.0295,-0.0099,0.00925,0.1331
sensor_078,1543.0,-0.013642579390797148,0.04787230157881146,-0.3482,-0.0476,-0.0125,0.0122,0.2492
sensor_079,1543.0,0.0034583279325988325,0.023079647668497637,-0.0568,-0.0108,0.0006,0.0132,0.1013
sensor_080,1543.0,-0.018530784186649385,0.04922601878995139,-0.1437,-0.0445,-0.0087,0.0091,0.1186
sensor_081,1543.0,-0.021153337653920933,0.017021124441250673,-0.0982,-0.0272,-0.0196,-0.012,0.0584
sensor_082,1543.0,0.0060548930654569025,0.03607430939085071,-0.2129,-0.018,0.0076,0.0269,0.1437
sensor_083,1566.0,7.452066602809706,0.5162513849989246,5.8257,7.104225,7.4674499999999995,7.807625,8.9904
sensor_084,1555.0,0.13310790996784566,0.005051301341521238,0.1174,0.1298,0.133,0.1363,0.1505
sensor_085,226.0,0.11278318584070797,0.0029283261097954464,0.1053,0.110725,0.11355000000000001,0.1149,0.1184
sensor_086,1567.0,2.4018715379706443,0.03733186120689418,2.2425,2.37685,2.4039,2.4286,2.5555
sensor_087,1567.0,0.982420293554563,0.012847842091247771,0.7749,0.9758,0.9874,0.9897,0.9935
sensor_088,1567.0,1807.8150211231653,53.53726220241346,1627.4714,1777.4703,1809.2492,1841.873,2105.1823
sensor_089,1516.0,0.18870323218997362,0.05237286447618119,0.1113,0.169375,0.1901,0.200425,1.4727
sensor_090,1516.0,8827.536865303431,396.3136618600386,7397.31,8564.689975,8825.435099999999,9065.432400000002,10746.6
sensor_091,1561.0,0.002439846252402306,0.08768295437644351,-0.357,-0.0429,0.0,0.0507,0.3627
sensor_092,1565.0,0.0005069009584664538,0.003231024228277144,-0.0126,-0.0012,0.0004,0.002,0.0281
sensor_093,1565.0,-0.0005405111821086262,0.003009833796536164,-0.0171,-0.0016,-0.0002,0.001,0.0133
sensor_094,1561.0,-2.9147982062780273e-05,0.0001741347967703349,-0.002,-0.0001,0.0,0.0001,0.0011
sensor_095,1561.0,6.0025624599615635e-05,0.00010440797375672332,-0.0009,0.0,0.0,0.0001,0.0009
sensor_096,1561.0,0.01712664958360026,0.2195781445084066,-1.4803,-0.0886,0.0039,0.122,2.5093
sensor_097,1561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor_098,1561.0,-0.018142664958360026,0.42710978584634884,-5.2717,-0.2188,0.0,0.1893,2.5698
sensor_099,1561.0,0.0015401024983984631,0.062740393429447,-0.5283,-0.0298,0.0,0.0298,0.8854
sensor_100,1561.0,-2.1268417680973738e-05,0.0003555366912193449,-0.003,-0.0002,0.0,0.0002,0.0023
sensor_101,1561.0,-7.23894939141576e-06,0.00022076237351255197,-0.0024,-0.0001,0.0,0.0001,0.0017
sensor_102,1561.0,0.00111460602178091,0.06296766399989996,-0.5353,-0.0357,0.0,0.0336,0.2979
sensor_103,1565.0,-0.009789073482428114,0.0030645488768766076,-0.0329,-0.0118,-0.0101,-0.0082,0.0203
sensor_104,1565.0,-1.4632587859424918e-05,0.000850708638613734,-0.0119,-0.0004,0.0,0.0004,0.0071
sensor_105,1561.0,-0.0004978859705317104,0.0032023291827482777,-0.0281,-0.0019,-0.0002,0.0011,0.0127
sensor_106,1561.0,0.0005395259449071109,0.002987912749000635,-0.0133,-0.001,0.0002,0.0016,0.0172
sensor_107,1561.0,-0.001765919282511211,0.08747477543703755,-0.5226,-0.0486,0.0,0.049,0.4856
sensor_108,1561.0,-0.010788597053171044,0.08675776525146273,-0.3454,-0.0649,-0.0112,0.038,0.3938
sensor_109,549.0,0.9799925318761384,0.008694888944683949,0.7848,0.9788,0.981,0.9823,0.9842
sensor_110,549.0,101.31825282331512,1.8800873187169334,88.1938,100.389,101.4817,102.0781,106.9227
sensor_111,549.0,231.81889763205828,2.105317916257847,213.0083,230.3738,231.2012,233.0361,236.9546
sensor_112,852.0,0.457537676056338,0.04893948036768213,0.0,0.4593,0.46285,0.466425,0.4885
sensor_113,1567.0,0.9454241863433311,0.01213287211602843,0.8534,0.9386,0.9464,0.9523,0.9763
sensor_114,1567.0,0.00012252712188895982,0.0016680941765185792,0.0,0.0,0.0,0.0,0.0414
sensor_115,1567.0,747.3837915762605,48.94924986407113,544.0254,721.023,750.8614,776.7818500000001,924.5318
sensor_116,1567.0,0.9871299298021697,0.0094965042399418,0.89,0.9895,0.9905,0.9909,0.9924
sensor_117,1567.0,58.62590791320995,6.48517445373113,52.8068,57.9783,58.5491,59.1339,311.7344
sensor_118,1543.0,0.5984116655865198,0.00810151744842984,0.5274,0.5941,0.599,0.6034,0.6245
sensor_119,1567.0,0.9707770899808551,0.00894856194452718,0.8411,0.9648,0.9694,0.9783,0.9827
sensor_120,1567.0,6.310863050414805,0.12430439087350695,5.1259,6.2464,6.3136,6.37585,7.522
sensor_121,1558.0,15.796424903722723,0.0996177237680075,15.46,15.73,15.79,15.86,16.07
sensor_122,1558.0,3.898389602053916,0.9041204721731875,1.671,3.202,3.877,4.392,6.889
sensor_123,1558.0,15.829659820282414,0.10831493753624595,15.17,15.7625,15.83,15.9,16.1
sensor_124,1558.0,15.794704749679074,0.11414369186392438,15.43,15.7225,15.78,15.87,16.1
sensor_125,1558.0,1.1849557124518615,0.2805546877108019,0.3122,0.9744,1.144,1.338,2.465
sensor_126,1558.0,2.7507284980744546,0.2534708152385679,2.34,2.572,2.735,2.873,3.991
sensor_127,1558.0,0.6484775994865212,0.1354088654417417,0.3161,0.5489,0.6539,0.7135,1.175
sensor_128,1558.0,3.1921822849807446,0.26417454262867024,0.0,3.074,3.195,3.311,3.895
sensor_129,1558.0,-0.5542283055198973,1.2204787495960854,-3.779,-0.8988,-0.1419,0.0473,2.458
sensor_130,1558.0,0.7449764441591785,0.08253126367202694,0.4199,0.6887,0.75875,0.8145,0.8884
sensor_131,1558.0,0.9978083440308086,0.002250576394821345,0.9936,0.9964,0.99775,0.9989,1.019
sensor_132,1559.0,2.3185446440025657,0.05318080353310863,2.1911,2.2773,2.3124,2.3583,2.4723
sensor_133,1559.0,1004.0430934573446,6.537701154618075,980.451,999.9961,1004.05,1008.6706,1020.9944
sensor_134,1559.0,39.39197851186658,2.99047608324939,33.3658,37.34725,38.9026,40.8046,64.1287
sensor_135,1562.0,117.96094750320103,57.54462723964513,58.0,92.0,109.0,127.0,994.0
sensor_136,1561.0,138.1947469570788,53.909791680681884,36.1,90.0,134.6,181.0,295.8
sensor_137,1560.0,122.69294871794872,52.2530147577518,19.2,81.3,117.7,161.6,334.7
sensor_138,1553.0,57.60302459755312,12.345358058102567,19.8,50.9001,55.9001,62.9001,141.7998
sensor_139,1553.0,416.76696374758535,263.30061396866864,0.0,243.786,339.561,502.2059,1770.6909
sensor_140,1553.0,26.077903927881515,506.92210649829843,0.0319,0.1317,0.2358,0.4391,9998.8944
sensor_141,1553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor_142,1553.0,6.641564713457824,3.5522542299963913,1.74,5.11,6.26,7.5,103.39
sensor_143,1558.0,0.004169448010269577,0.00128180932587709,0.0,0.0033,0.0039,0.0049,0.0121
sensor_144,1565.0,0.12000811501597444,0.061342785491063416,0.0324,0.0839,0.1075,0.1327,0.6253
sensor_145,1565.0,0.06362140575079872,0.026540583373346135,0.0214,0.048,0.0586,0.0718,0.2507
sensor_146,1565.0,0.05501003194888179,0.021844487744507778,0.0227,0.0423,0.05,0.0615,0.2479
sensor_147,1565.0,0.017410990415335465,0.027122909963026458,0.0043,0.01,0.0159,0.0213,0.9783
sensor_148,1565.0,8.471307923322684,18.740631069364888,1.4208,6.3599,7.9173,9.5853,742.9421
sensor_149,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor_150,1564.0,6.8142679028133,3.241842630695339,1.337,4.45925,5.9510000000000005,8.275,22.318
sensor_151,1564.0,14.047402813299232,31.002541178451466,2.02,8.08975,10.993500000000001,14.347249999999999,536.564
sensor_152,1564.0,1.1967331841432223,23.364062814247543,0.1544,0.37375,0.4687,0.679925,924.378
sensor_153,1564.0,0.011926470588235295,0.009345677016570107,0.0036,0.007275,0.0111,0.0149,0.2389
sensor_154,1564.0,7.697970907928389,5.239218953897178,1.2438,5.92695,7.5127,9.054675,191.5478
sensor_155,1557.0,0.5071714836223506,1.1224267752591635,0.14,0.24,0.32,0.45,12.71
sensor_156,1567.0,0.058088576898532224,0.0791744877182338,0.0111,0.036250000000000004,0.0487,0.0667,2.2016
sensor_157,138.0,0.047104347826086954,0.03953765066837538,0.0118,0.027049999999999998,0.03545,0.048875,0.2876
sensor_158,138.0,1039.6507376811596,406.84881031719414,234.0996,721.67505,1020.30005,1277.750125,2505.2998
sensor_159,1565.0,882.6805111821086,983.0430214415103,0.0,411.0,623.0,966.0,7791.0
sensor_160,1565.0,555.3463258785943,574.8085883403089,0.0,295.0,438.0,625.0,4170.0
sensor_161,1565.0,4066.850479233227,4239.24505784859,0.0,1321.0,2614.0,5034.0,37943.0
sensor_162,1565.0,4797.15463258786,6553.569317232143,0.0,451.0,1784.0,6384.0,36871.0
sensor_163,1565.0,0.14020447284345047,0.12198898992468678,0.0,0.091,0.12,0.154,0.957
sensor_164,1565.0,0.12794249201277955,0.24253363310452541,0.0,0.068,0.089,0.116,1.817
sensor_165,1565.0,0.2520255591054313,0.4073293242260462,0.0,0.132,0.184,0.255,3.286
sensor_166,1565.0,2.7888817891373803,1.119755905743267,0.8,2.1,2.6,3.2,21.1
sensor_167,1565.0,1.2357827476038339,0.6327669145242083,0.3,0.9,1.2,1.5,16.3
